Kanji,Hiragana,English,Origin,Difficulty ,New
??,???,To walk,Duolingo 2.2,,
??,??,To play (instrument),Duolingo 2.2,,
??,???,To make,Duolingo 2.2,,
??,??,To blow,Duolingo 2.2,,
??,???,"To advance, go forward",Duolingo 2.2,,
???,???,To turn,Duolingo 2.2,,
?????,??????,To become hungry,Duolingo 2.2,,
??,??,To exit,Duolingo 2.2,,
??,???,To go past,Duolingo 2.2,,
?????,?????,To overeat,Duolingo 2.2,,
????,???????,To practice,Duolingo 2.2,,
????,??????,To cook ,Duolingo 2.2,,
???,???,"Opposite side, over there",Duolingo 2.2,,
??,???,Far ,Duolingo 2.2,,
??,???,Close,Duolingo 2.2,,
??,???,Slow,Duolingo 2.2,,
???,???,Want,Duolingo 2.2,,
???,????,Bright,Duolingo 2.2,,
??,???,Dark,Duolingo 2.2,,
???,?????,Warm,Duolingo 2.2,,
???,????,Cool,Duolingo 2.2,,
??,??,Good,Duolingo 2.2,,
??,???,Bad,Duolingo 2.2,,
??,???,Weak,Duolingo 2.2,,
??,???,Strong,Duolingo 2.2,,
??,???,"Numerous, a lot, many",Duolingo 2.2,,
??,???,"Spacious, big",Duolingo 2.2,,
??,???,"Narrow, small",Duolingo 2.2,,
????,?????,Salty,Duolingo 2.2,,
??,??,"Clear, sunny",Duolingo 2.2,,
??,???,Cloudy,Duolingo 2.2,,
???,????,"Few, scarce, insufficient",Duolingo 2.2,,
??,???,All,Duolingo 2.2,,
??,????,"Splendid, wonderful, nice ",Duolingo 2.2,,
